Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,166.3,1923.1,0,0,4,160,9,114,32,39.3938,49.2875,37.9875,4.19393,3.32483,2.93322, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1686,1743,0,0,2,1945,28,40,86,104.793,87.5013,51.7095,7.3968,5.60078,3.50951, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1874.1,1660.7,0,0,2,3315,36,40,92,119.431,97.4184,56.489,14.5542,9.78582,5.57326, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,773.757,1286.04,1,0,2,371,13,42,105,91.0728,75.3881,37.6334,5.74953,4.30323,3.42968, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1945.91,1146.54,1,0,3,4490,42,42,81,141.223,120.085,73.3862,14.5562,10.6555,5.7685, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1899.44,1099.82,1,0,3,4116,38,42,84,156.103,131.785,79.2464,21.5254,16.3566,8.98538, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1959.7,863.429,1,0,4,1935,31,42,82,136.361,115.937,69.6522,16.1588,11.2592,6.05847, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1983.1,830.8,1,0,4,1474,24,44,77,129.309,112.619,69.135,12.3932,9.26722,5.35003, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1930.38,797.556,1,0,4,2908,35,42,83,139.946,118.694,70.7139,17.5096,12.3251,6.36975, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,30.28,776.04,0,0,8,727,19,30,51,11.5034,9.9326,8.04952,8.84055,8.53713,5.58186, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,12.25,754.25,0,0,8,984,20,60,31,13.9157,13.6535,11.3283,9.46658,10.3624,7.28256, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1994.25,359.75,0,0,2,215,9,40,94,111.065,92.0698,50.6047,7.43865,5.03009,4.26603, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,2336,1981,0,0,1,186,9,40,153,27.5161,21.4355,6.93011,6.83116,6.53179,3.96584, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1230.75,1686.56,1,0,1,3481,35,40,96,105.553,86.021,47.7124,12.9432,8.81717,5.10363, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1380.73,1659.63,1,0,1,9681,67,40,88,107.432,89.4641,51.9604,16.3893,11.1362,5.79713, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1549.46,1596.95,1,0,1,3785,37,40,90,126.028,103.726,60.0428,18.2762,11.9666,6.48039, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,2007.5,1578.5,0,0,1,1752,25,40,93,119.808,97.7643,56.4429,14.37,9.48742,5.25958, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1543.36,1477.62,1,0,1,1177,20,40,92,145.449,118.636,68.3985,14.2927,9.98401,5.12322, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1223.88,1480.84,1,0,1,3969,37,42,90,110.824,92.6332,52.9282,16.2348,10.9186,5.82813, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,947.546,1415.98,1,0,1,1584,23,42,97,90.8535,76.3074,41.1465,9.24062,6.63512,4.23901, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1509.11,1423.52,1,0,1,3713,36,40,87,137.356,114.259,66.8023,19.7384,13.6653,6.72258, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,2009,1390.5,1,0,1,10474,69,40,88,123.01,102.232,60.3956,22.0282,14.9053,7.37279, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,994.34,1335.38,1,0,1,844,17,44,93,98.8377,83.5794,46.3436,10.6004,7.14282,4.1163, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1072.16,1291.08,1,0,1,1800,25,42,90,102.026,86.3644,48.6267,11.7365,8.18412,4.47971, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,2164.35,1290.23,1,0,1,4628,40,40,87,109.93,92.0547,53.6793,17.1836,11.5018,5.71124, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1543.15,1236.55,1,0,1,5676,44,42,81,148.625,127.362,77.3243,20.8012,15.4381,8.53131, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1907.33,1228.4,1,0,1,5590,43,40,83,142.635,120.429,72.9524,19.361,14.1485,7.44419, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,2145.5,1201,1,0,1,5369,44,42,89,116.382,96.6174,55.8398,21.0452,14.009,6.58519, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1854,1154,1,0,1,1032,19,40,85,160.292,134.32,79.7209,19.8203,14.7855,8.08295, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1322.44,1146.64,1,0,1,2003,26,42,84,136.712,116.949,69.2866,19.164,13.1428,7.09467, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1723.52,1099.68,1,0,1,5472,45,42,85,175.261,150.616,94.9624,23.3095,17.4965,12.0232, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,2278,1054,0,0,1,1055,19,42,90,91.9791,77.9564,44.0559,4.03901,3.36202,2.94466, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1972.54,945.794,1,0,1,6232,48,40,84,144.667,122.424,73.0083,21.9437,16.0933,8.12615, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1644.75,911.75,1,0,1,1227,20,40,124,207.246,176.66,115.913,21.9162,15.1548,11.4366, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1809.77,917.846,1,0,1,5460,42,42,86,175.205,150.148,93.8681,21.9493,16.5188,11.1936, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1296.46,901.248,1,0,1,1176,20,44,82,131.819,114.966,68.4949,16.0889,10.9057,5.97716, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1115.93,821.693,1,0,1,1020,19,44,88,107.374,92.2529,51.6794,12.11,7.97985,4.81485, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1579.53,755.118,1,0,1,1809,25,42,79,157.951,136.333,83.1194,20.1195,14.9197,9.12786, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1892.65,725.731,1,0,1,3688,36,42,87,145.538,122.615,71.7676,21.2604,15.1898,7.77833, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,2143,726.5,1,0,1,5515,45,40,94,120.804,100.178,56.4063,20.6958,13.7957,7.05458, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1726.55,610.789,1,0,1,1714,26,42,87,139.935,118.251,68.9224,18.9465,13.1523,7.19626, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1840,581.5,1,0,1,1887,25,40,89,132.653,111.235,63.9634,19.4552,12.8327,7.06179, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1616.74,554.941,1,0,1,755,17,42,88,135.445,114.224,65.9404,16.9641,11.0687,5.93082, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,207.5,428,0,0,1,416,12,76,49,31.1298,34.0865,22.9856,13.1116,13.7429,9.4674, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 1,1814.54,374.671,1,0,1,1298,21,42,89,116.11,97.5,55.9992,15.4781,9.8289,5.62849, "2018-06-08 [4:10:20 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G106 plate images\23May18\wt 4 (2).JPG", 0,1751.5,241,0,0,1,458,13,42,91,119.52,101.328,57.1703,10.3206,6.78525,4.81296, "2018-06-08 [4:10:20 PM]: no comment"
