Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1289,1787.5,1,0,3,785,19,38,101,102.201,79.6994,43.8854,12.8921,8.86778,5.93288, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1238.13,1748.73,1,0,3,3307,36,38,100,92.4844,73.2477,39.8107,14.4533,10.2655,6.8139, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1133.3,1707.1,1,0,2,2799,33,38,105,93.7481,73.8439,39.0672,14.3699,10.1381,6.75768, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,2072.5,1609.5,1,0,5,738,16,38,98,92.4377,73.9878,40.6531,5.50499,4.02986,3.98442, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,916.402,1527.52,1,0,4,4257,41,40,108,83.6953,66.8015,33.9833,11.1444,8.04473,6.51662, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,840,1359.5,1,0,2,5944,46,40,105,79.3871,64.4335,33.3496,11.3424,8.22157,6.29064, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,810.311,1251.74,1,0,3,1758,25,40,106,79.7952,65.1047,33.4534,9.30636,6.84375,5.9065, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,777.603,1207.17,1,0,3,4374,40,40,105,78.5281,64.3647,33.1358,11.0062,8.0515,6.09735, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,846.038,1170.31,1,0,4,2518,29,42,96,75.1124,63.3074,33.5616,8.5367,6.25785,5.35051, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1655.76,978.39,1,0,4,6803,48,40,77,170.181,146.276,95.8526,22.1322,17.6007,12.9522, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1372.9,873.7,1,0,3,4350,41,42,74,139.534,120.741,76.5664,21.8567,16.2882,9.54944, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1450.92,843.826,1,0,3,6146,46,42,71,143.725,125.269,81.3993,24.5415,18.8415,11.8804, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1454.68,736.17,1,0,4,3617,36,42,77,133.753,114.514,71.5281,22.9394,16.8402,9.76823, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1412.75,686.75,1,0,4,5156,45,42,79,121.468,104.03,64.4488,20.4784,14.0694,8.14848, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,810.026,655.945,1,0,2,4318,39,42,99,76.6508,64.3627,34.2587,8.45913,6.36975,5.51932, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1216.12,525.807,1,0,6,539,16,42,85,89.5028,76.1187,44.6772,10.92,8.13875,5.49156, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1243,509.5,1,0,6,2097,30,44,81,84.9561,73.5804,43.7167,9.46255,6.86279,5.14276, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1294.95,467.791,1,0,6,6398,51,40,85,93.711,78.959,46.5538,16.7921,11.7216,7.28662, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1119.75,426.75,1,0,4,4162,44,42,92,83.3208,70.1985,38.5245,14.613,10.5704,7.24954, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 0,1509.83,165.037,0,0,2,202,11,40,91,99.1733,81.7822,47.4109,7.32649,5.24288,4.07247, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1695.76,1740.04,1,0,1,7778,53,38,97,97.5602,77.9742,44.1439,16.7005,12.0071,7.84595, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1568.61,1674.31,1,0,1,5006,42,40,87,92.028,75.9067,44.5597,12.0834,9.13774,6.77006, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1607.09,1569.87,1,0,1,7141,49,38,88,102.625,84.1269,49.6474,18.9356,12.8523,7.44162, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1954.36,1381.84,1,0,1,3472,35,40,92,109.179,88.7131,51.3145,17.7324,12.0279,7.14529, "2018-06-19 [2:16:11 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G117 plate images\31May18-2\117-227.JPG", 1,1347.1,1370.12,1,0,1,6260,47,40,85,112.245,92.8688,55.5591,21.193,14.6668,8.19179, "2018-06-19 [2:16:11 PM]: no comment"
