Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,731,1990,0,0,2,255,10,40,33,12.6824,11.6941,9.52549,4.12565,2.98834,2.62768, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,716.75,1975.25,0,0,2,122,7,46,39,15.2459,14.0164,10.6311,4.16826,2.69852,2.48876, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,143.5,1961,0,0,3,48,5,132,35,46.625,62.0833,49.7708,3.48852,2.2883,2.40297, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,117.466,1977.91,0,0,6,237,9,130,27,50.097,62.4093,51.5274,4.49247,4.3219,4.18559, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,105.831,1957.76,0,0,6,230,10,116,29,51.3304,63.0087,50.2,5.10773,3.1609,3.58154, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,99,1947.5,0,0,6,92,6,120,26,52.7391,65.2935,52.6848,3.6616,2.61203,3.03197, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,1378.25,1682.25,1,0,8,542,15,48,49,107.793,100.919,72.7657,8.00301,6.18521,4.54029, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,1363.01,1666.92,1,0,8,687,18,48,52,107.374,99.9214,70.9258,8.69401,5.96945,4.2618, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,1415,1650,1,0,8,313,11,48,49,108.489,101.102,72.7061,6.43278,4.85882,4.43584, "2018-07-28 [7:52:00 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G117 plate images\31May18\117-44.JPG", 0,1366,1642,1,0,8,573,16,48,53,109.892,101.691,72.4607,9.04126,6.18057,3.96823, "2018-07-28 [7:52:00 PM]: no comment"
