Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2096.34,1729.07,1,0,5,3123,35,42,81,105.988,90.6555,55.1009,10.25,6.90764,5.02558, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2068.25,1619.75,1,0,5,2463,31,44,78,107.447,92.6715,56.8494,10.1026,6.61237,4.87561, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1299.08,1537.34,1,0,2,2079,29,44,74,111.051,97.3122,60.8341,9.90586,7.30957,5.25463, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1270.5,1507.5,1,0,2,1531,24,42,73,111.833,96.9654,61.5447,9.23418,6.52313,4.96965, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1482.68,1547.29,1,0,11,1237,21,44,67,120.47,107.184,69.8205,7.83718,5.42379,3.3741, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1275.5,1452.5,1,0,2,2275,27,44,71,114.728,101.084,65.2809,8.98967,6.20244,4.43399, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1331.9,1441.88,1,0,2,3137,32,44,74,117.792,103.742,65.4135,10.4762,7.44296,5.10279, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1717.94,1376.89,1,0,2,2408,29,44,72,146.944,129.291,82.1171,10.4168,8.13069,5.2666, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1725,1335.5,1,0,2,382,12,44,74,162.55,143.141,90.3377,8.41488,6.02412,4.432, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1657.46,1394.38,1,0,3,2546,35,44,67,140.909,125.34,81.5067,9.83296,7.49108,4.51086, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1642.25,1332.14,1,0,3,3352,39,42,70,145.55,128.439,83.4514,12.0766,9.85342,5.86464, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2280.86,1225.29,1,0,3,2435,36,44,79,101.329,89.1441,52.5405,7.25725,5.24363,4.35624, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2224.33,1211.23,1,0,3,2394,34,44,78,108.701,95.1746,57.6449,9.59956,6.73638,4.98924, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 0,2332.5,1224.5,1,0,3,51,5,44,82,100.922,88.451,52.2745,4.01528,3.21681,2.83729, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 0,2328.47,1211.2,1,0,3,462,13,46,81,95.4416,84.4437,49.0952,6.48353,4.39213,3.5234, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1635.25,1185.25,1,0,3,2680,32,46,71,169.354,153.354,103.033,11.0883,9.28033,8.00456, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1569.94,1181.08,1,0,3,4235,37,46,66,163.387,148.548,99.2791,10.4309,8.32367,6.71859, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1570,1136.5,1,0,3,338,11,46,81,180.388,162.651,109.861,6.82746,5.25406,5.09375, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1287,1189.5,1,0,2,3785,36,44,70,129.909,116.257,74.4388,11.3905,8.54051,5.78229, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1237.07,1147.82,1,0,2,3902,35,44,69,123.685,110.118,71.0487,10.2131,7.08455,4.43851, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1411.05,1172.65,1,0,2,3427,34,46,66,148.802,134.318,88.3767,10.8651,8.54084,5.41892, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1425.16,1108.21,1,0,2,3585,34,44,65,155.143,138.927,92.0594,10.7368,9.20849,6.73118, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,953,1088.5,1,0,2,3118,32,48,75,96.7707,88.1337,52.6046,8.75658,6.0898,4.84528, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,894.215,1064.08,1,0,2,2901,31,46,78,97.6563,87.9821,52.2165,7.77334,5.49639,4.44294, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2508.97,1051.01,1,0,3,2581,34,44,103,94.3448,80.1085,39.9667,8.25132,5.93615,4.36407, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2183,1144.5,1,0,5,2019,26,44,73,113.712,101.049,63.2169,5.5905,4.29582,3.44473, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2194.91,1076.57,1,0,5,2845,35,46,74,116.239,103.229,64.2559,6.02661,4.49394,3.55139, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2155.71,1059.94,1,0,5,1913,26,44,74,123.813,109.252,67.7522,9.00428,6.3034,3.95325, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2162,1013.5,1,0,5,2480,31,44,75,125.175,110.49,68.146,9.76574,6.37324,3.87587, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2061.51,961.13,1,0,2,1990,27,42,77,146.688,127.389,79.1332,11.2484,8.41277,4.87776, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2040.79,924.34,1,0,2,1931,26,42,77,148.765,129.207,80.0409,13.2245,10.2516,5.40609, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2179,892,1,0,2,2775,31,44,80,125.67,109.397,66.4029,10.4462,6.94613,4.20526, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,2172.44,829.378,1,0,2,3456,34,44,76,124.328,108.756,66.5304,10.6337,7.28406,4.46823, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 0,2460.75,654.842,1,0,7,224,9,40,102,117,93.9598,50.4911,6.46907,3.33437,3.71732, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 0,2455,642,1,0,7,127,7,40,104,119.331,96.9055,50.2283,5.33818,3.84074,4.48944, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 0,2438,637,1,0,7,25,3,38,108,126.36,99.44,51.48,3.13317,2.1342,2.62776, "2019-07-16 [3:46:23 PM]: no comment"
"C:\Users\ealtman\Dropbox\protein G structure\plate_images\G123\27August2018\123-152.JPG", 1,1664.33,605.282,1,0,10,420,14,46,72,141.281,126.581,79.0619,7.74269,6.1691,3.92948, "2019-07-16 [3:46:23 PM]: no comment"
