Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,2144,1224.5,1,0,2,4439,39,42,81,101.975,86.5704,52.8261,9.3135,6.38915,3.98233, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,2151,1154.5,1,0,2,4029,38,42,81,102.249,87.2626,52.6232,9.60239,6.68234,4.30504, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,2131.55,918.324,1,0,2,4794,40,42,83,107.528,91.9658,55.4241,9.67922,6.64243,4.1178, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,2060.72,874.913,1,0,2,5309,42,42,82,115.398,98.0639,59.4069,13.3083,8.86498,4.89147, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,2044.64,623.09,1,0,3,911,21,40,89,109.51,90.9857,52.5412,11.987,8.02316,4.39597, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1354.17,344.455,1,0,5,2668,31,44,89,78.8156,68.024,38.4524,7.86782,5.72475,4.75071, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 0,1350.8,304.784,1,0,5,1281,26,46,82,76.2623,66.7963,38.5098,4.96372,3.58921,3.27811, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1267,1626,1,0,1,3050,32,42,86,91.4279,77.0767,45.1095,5.11302,3.89488,3.49086, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1640.19,1585.96,1,0,1,1941,25,42,84,104.982,88.5466,52.6126,9.07833,6.15374,3.97393, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1318.65,1558.69,1,0,1,2616,30,40,84,94.6166,80.2634,47.5543,7.37406,5.26939,3.58231, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1513.34,1419.88,1,0,1,385,11,38,87,126.086,103.452,62.0026,12.0597,7.08455,4.57226, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1654.61,1388.21,1,0,1,2049,27,42,83,122.097,103.131,62.3963,14.1055,8.94942,5.28216, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1420.5,1372,1,0,1,600,15,40,86,118.85,99.3833,58.8117,11.0157,7.12697,4.37583, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1353.5,1281,1,0,1,3275,33,42,79,109.563,94.9722,58.1227,9.80076,6.41264,4.1116, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1431.43,1271.34,1,0,1,4540,40,42,77,115.66,99.7705,62.2286,12.4317,8.24752,4.77526, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,842.5,1223.5,1,0,1,345,11,44,91,82.029,69.5159,38.6232,5.65435,4.06176,3.281, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,780.5,1163,1,0,1,2034,27,44,99,76.7021,64.5123,33.9223,5.15218,3.75197,3.63735, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1697,1162.5,1,0,1,5089,41,42,74,150.788,130.196,83.1032,14.586,11.125,6.60669, "2018-03-15 [12:07:18 AM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G123\G123_2Mar18\G123-24_GTG_V.JPG", 1,1808.25,1139.25,1,0,1,1957,27,42,73,148.223,128.239,81.6382,3.57864,3.26277,2.94533, "2018-03-15 [12:07:18 AM]: no comment"
