Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,455,1988.5,0,0,2,330,11,20,59,8.20909,6.47879,4.59394,3.74832,2.46923,2.47462, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,1513.5,1829,1,0,5,1589,27,38,87,102.126,83.1976,50.2605,9.66195,7.12149,4.86852, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1468.2,1824.79,1,0,5,4691,42,38,88,100.761,81.9996,48.9685,14.9238,10.4428,6.0373, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1554.47,1819.42,1,0,5,4940,47,38,88,105.094,85.449,50.9279,17.9151,12.3999,6.88724, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,1214.34,1761.15,0,0,4,6777,52,38,90,101.742,82.7087,48.5156,16.3061,11.3048,6.40682, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1927.96,1524.4,1,0,3,5047,45,40,87,113.909,93.6541,56.0113,18.1735,12.3695,6.41454, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,1043.75,1345.25,1,0,3,1568,25,40,85,100.195,83.6052,49.5453,11.4146,7.7505,4.40906, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,2205.38,1285.01,1,0,3,2517,29,40,86,92.965,78.0731,46.0509,10.9871,7.73196,4.93135, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,2188.83,1228.81,1,0,3,3955,38,40,89,94.5451,79.0731,46.0379,14.8663,10.2399,5.90698, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,1311.9,1221.3,1,0,3,3884,38,44,72,113.068,98.974,63.3821,10.4419,7.67261,4.96304, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,1286.79,1173.48,1,0,3,2317,29,44,72,114.125,99.9663,63.6172,10.6242,7.65518,4.82817, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,678,953.5,0,0,2,451,12,40,91,96.867,79.7406,45.8426,6.21256,4.43732,4.54503, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1635,944,1,0,2,569,15,38,122,204.155,170.211,109.696,10.6876,8.65957,7.76941, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,810.964,1007.51,1,0,2,6046,46,44,85,86.2641,74.0546,42.8806,12.36,8.27902,5.37779, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,782.5,949.5,1,0,2,1271,21,42,89,93.1345,78.6263,44.8159,8.81705,6.39906,3.84796, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1220.57,1037.83,1,0,2,3316,35,40,81,126.752,107.313,65.7717,17.806,12.2065,6.54416, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1209.14,965.146,1,0,2,5528,44,42,75,113.548,98.4385,61.5056,16.3078,11.0527,6.48026, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1601,621,1,0,5,255,11,38,92,150.612,122.322,70.9098,6.20956,5.7211,4.4305, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,1634.5,347.5,1,0,5,2482,29,42,84,96.9718,82.7816,48.9678,8.22104,6.2741,4.30722, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 0,1556,312,1,0,5,2228,30,44,81,94.9004,81.7379,48.5117,7.17961,5.34017,3.88177, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1691.35,178.188,1,0,2,4232,40,42,93,107.338,88.5929,50.418,13.3853,9.6552,5.36858, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1245.76,1573.11,1,0,1,7263,51,38,84,102.505,85.4092,51.5845,17.4034,11.7911,6.42283, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1974.96,1446.35,1,0,1,4915,42,40,85,109.931,91.4732,55.2183,16.0032,11.1761,6.19011, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,959.12,1365.98,1,0,1,6004,46,42,84,90.71,76.815,45.7818,12.3421,8.71088,5.38268, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1998.21,1329.83,1,0,1,5201,44,40,87,118.066,97.5966,58.3942,17.9084,12.0635,6.53008, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1182.81,1282.54,1,0,1,6512,48,40,80,108.52,92.4226,56.7331,16.2114,11.0303,5.98487, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,2330.06,1266.55,1,0,1,4274,40,42,95,83.2798,69.577,38.216,11.7042,8.17564,5.76509, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,2322.5,1168.71,1,0,1,4755,42,42,95,82.5775,68.919,37.8072,10.8364,7.70389,5.48102, "2018-07-24 [1:33:40 PM]: no comment"
"C:\Users\LuAnn Scott\Documents\phage\viral attenuation\saturation mutagenesis\plate images\G125\23July2018\125-97.JPG", 1,1566.5,1111.5,1,0,1,5747,44,42,79,171.125,146.878,95.0204,21.5286,16.9577,11.864, "2018-07-24 [1:33:40 PM]: no comment"
