Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,288.5,1990,0,0,3,189,8,40,51,18.2857,15.6984,12.3386,4.69654,2.32898,2.46625," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,2372,1945,0,0,7,43,5,44,218,76.8372,57.8372,5.62791,2.75115,2.86685,3.94937," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,2376,1941,0,0,7,48,5,44,242,75.9167,56.0625,2.20833,2.9239,2.83037,3.64542," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,2385,1928.5,0,0,7,46,5,42,249,79.1087,55.0652,0.608696,4.29181,2.42038,2.07295," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,2385.5,1920.5,0,0,7,85,5,42,249,78.6471,54.7529,0.682353,2.65,2.89057,2.39083," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,2387,1911,0,0,7,86,6,42,249,77.686,54.6279,0.72093,3.77556,2.62142,2.17781," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,570.121,1891.95,0,0,9,115,7,60,47,16.2783,16.0174,10.8,5.04012,3.73459,2.81874," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,559.914,1890.97,0,0,9,107,7,60,34,16.7944,16.9346,12.7664,4.0471,4.09135,3.27781," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,551,1890,0,0,9,89,6,44,34,17.0449,16.1798,12.8315,4.93175,3.49747,2.92696," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,535,1880,0,0,9,80,6,150,18,13.4625,15.1125,13.675,4.16206,4.11446,2.8559," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1386,1806.5,1,0,3,777,18,44,56,122.292,110.382,78.0669,4.55626,3.3806,2.59815," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,452.25,1872.75,0,0,11,1340,24,30,18,14.9739,14.241,12.7672,4.92315,4.01231,3.23996," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,391.789,1809.7,0,0,11,1187,24,30,20,13.9343,13.3749,11.9789,3.55996,2.94321,3.01228," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,373.006,1800.1,0,0,11,279,13,40,31,14.0645,12.6774,10.8351,4.11939,3.0187,2.72106," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,374,1759,0,0,11,480,13,40,31,14.0625,12.8188,11.2188,4.06666,2.84799,2.70051," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,366.5,1741,0,0,11,127,7,40,59,16.1654,14.4724,10.4567,5.21053,3.14376,2.92274," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1633.51,1699.6,1,0,2,1291,22,46,53,120.273,110.948,78.7971,4.3528,3.01303,2.86551," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,2401.51,1725.55,0,0,9,382,15,40,255,71.267,48.1649,0.0052356,3.41546,2.65682,1.07217," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,2400.15,1680.41,0,0,9,931,21,42,255,72.7186,49.5381,0,4.90767,3.3541,1," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1247.09,1481.53,1,0,2,908,19,46,51,144.067,132.534,96.0396,5.26192,4.15529,3.4662," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1222.5,1455.5,1,0,2,1503,24,46,51,144.149,132.981,96.322,6.94276,5.4103,4.23304," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,60.2941,1437.68,0,0,2,79,6,56,93,28,26.7215,12.6329,5.84964,6.5437,3.26239," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1047.17,1426.92,1,0,2,1027,19,46,52,134.605,123.987,89.407,5.80278,4.2031,3.56443," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1011.78,1423.28,1,0,2,1179,21,44,54,135.394,123.21,88.0882,6.38647,4.64961,3.49594," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1094,1436,1,0,2,662,15,46,50,137.142,126.932,92.1767,5.0519,3.92348,3.22466," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,1,1100.5,1405.5,1,0,2,1601,24,46,49,139.037,128.755,93.7983,8.75382,6.20213,4.31312," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,1790,867,1,0,4,320,11,46,54,153.741,142.334,100.288,4.25839,3.11189,3.05666," ""2019-05-20 [4:27:36 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G125new\4April19\G125new-8.JPG,0,1799.2,849.6,1,0,4,330,11,48,54,151.745,140.945,98.9091,3.52899,3.21908,2.56986," ""2019-05-20 [4:27:36 PM]: no comment"""
