Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,307.5,1992.5,0,0,2,122,7,4,102,28.4672,12.6885,11.9754,12.9014,2.6698,2.88377," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,300.5,1979,0,0,2,48,4,4,111,28.4792,12,11.3125,12.0491,2.29099,3.04284," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2703.5,1964,0,0,4,48,5,26,255,144.875,65.3958,0,2.82146,2.34999,1," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2703.42,1957.62,0,0,4,37,4,28,255,143.378,65.5405,0,2.64976,2.28599,1," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,422.7,1897.6,0,0,2,19,3,8,81,28.6316,16.5263,15.2632,2.66102,1.88069,1.90856," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,418,1896,0,0,2,19,3,6,62,28.4211,18,17.3684,2.84436,1.91766,1.98465," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,1723,1894.5,0,0,2,23,4,2,84,183.261,115.087,111.957,6.71966,6.68685,6.87906," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2258.5,1890,0,0,2,24,3,10,109,29.75,15,11.75,4.23071,2.60728,2.92029," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,86.2,1869.6,0,0,2,21,3,0,28,9.66667,7.66667,8,2.08379,1.77664,2.19523," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,564.25,1991.25,0,0,9,17,3,350,48,18.6471,12.5294,13.8824,2.23389,1.91508,2.3232," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,545.5,1950.5,0,0,9,89,6,0,51,20.5169,14.0337,14.3483,3.49094,1.84067,2.32479," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,520.25,1860.75,0,0,2,13,2,0,51,18.2308,11.6923,11.8462,2.12002,1.7216,1.53294," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,380,1824.5,0,0,3,38,5,16,68,26.1053,18.0789,15.4737,2.4652,2.1558,2.01921," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,424.5,1827.5,0,0,3,18,3,6,58,26.8889,18.1111,16.7222,2.1967,1.87489,1.93128," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,431,1824,0,0,3,29,4,16,68,26.3793,17.931,15.4483,2.12691,1.69138,1.81309," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2293,1821.5,0,0,4,14,3,12,132,43.6429,19.9286,13.5,2.71577,1.70349,2.40153," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2293.5,1817.5,0,0,4,23,3,10,143,46.1304,19.3043,12.6522,3.5419,1.85642,2.60458," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2510,1814,0,0,4,52,5,24,231,119.481,53.2692,6.30769,3.2828,3.65385,4.85576," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,1258.9,1795.3,0,0,3,24,4,0,126,49.8333,17.1667,17.0833,12.2014,2.21335,2.89113," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,112.5,1789,0,0,3,40,4,300,25,11.05,9.2,10.85,2.53216,1.78102,2.03803," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,176.5,1769.5,0,0,3,23,3,0,75,22.1304,11.8696,11.5217,4.22091,1.99146,2.1371," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2241.9,1749.3,0,0,2,25,4,4,149,60.6,18.8,16.04,15.2099,4.03315,2.79956," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,404,1749,0,0,2,11,3,4,67,29,17.6364,17,3.17423,1.97912,2.53741," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,398.5,1747.5,0,0,2,20,3,10,68,26.05,16.7,14.9,2.62711,1.9,1.6245," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,119.5,1717.5,0,0,2,18,3,10,64,15.0556,9.5,9.27778,1.77976,1.89753,1.73072," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,262.423,1685.38,0,0,2,23,3,0,62,28.2609,16.5652,16.8261,2.32591,1.82494,2.65902," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,258,1682.5,0,0,2,30,3,4,78,30,17.0667,15.8,2.87972,1.92856,2.22202," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,269,1674.5,0,0,2,24,3,4,67,29.1667,17.625,16.9583,1.79931,1.63328,1.78947," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,446.5,1644,0,0,3,29,4,10,70,27.6207,17.8621,16.3448,2.69001,2.13636,2.09153," ""2019-05-16 [4:27:25 PM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G129singles\23April19\G129Q-2.JPG,0,2972,1615,0,0,2,134,7,10,134,16.0672,6.69403,5.16418,7.4706,2.33957,3.51026," ""2019-05-16 [4:27:25 PM]: no comment"""
