Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,292.25,1992.75,0,0,6,122,7,30,73,8.88525,6.90164,4.56557,3.79987,2.54925,1.93201, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,283.85,1979.95,0,0,6,22,4,44,85,7.86364,6.59091,4.18182,1.86841,2.19313,1.8332, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,623,1935,0,0,8,54,5,80,70,5.90741,7.07407,4.07407,2.37798,2.10306,1.8788, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,601,1935.5,0,0,8,92,6,40,70,6.93478,6.19565,4.48913,2.13064,1.98067,2.05804, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,610.5,1932,0,0,8,29,4,90,51,5.31034,6.06897,4.44828,2.17747,1.63956,1.8939, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,588.473,1931.66,0,0,8,83,6,80,70,5.80723,6.55422,4.42169,2.37497,2.13279,2.1732, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,577.5,1922,0,0,8,29,4,90,51,5.44828,6.13793,3.75862,1.62069,1.93676,1.97043, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,545.5,1936,0,0,21,31,4,80,70,5.96774,7.03226,3.67742,2.46978,2.17731,2.37693, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,538.75,1934.25,0,0,21,73,7,40,70,6.93151,6.41096,4.17808,2.27493,2.00459,1.76467, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,516,1930,0,0,21,54,5,60,51,6.38889,5.90741,4.18519,1.89062,1.64603,1.72198, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,531.971,1929.38,0,0,21,116,7,60,51,5.65517,5.82759,3.77586,2.13033,1.91233,2.17507, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,525.2,1926.4,0,0,21,25,5,40,70,6.84,5.64,3.8,2.18929,1.55714,1.4899, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,503.412,1924.35,0,0,21,48,5,40,85,5.54167,5.16667,3.3125,1.81543,1.7728,1.74039, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,515,1922,0,0,21,54,5,60,64,5.2963,5.11111,3.07407,1.87411,1.59835,1.60406, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,508.25,1914.25,0,0,21,34,4,60,64,4.64706,5.41176,3.02941,1.93565,1.59988,1.61765, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,480,1912.5,0,0,21,22,4,60,64,5.13636,5.45455,3.13636,2.0994,1.5821,1.34317, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,1765,1609.5,1,0,2,89,6,38,93,110.382,87.8989,50.6404,6.15055,4.59164,3.48703, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 1,900,1521,1,0,3,189,8,38,95,107.392,85.5503,48.6931,5.73925,4.49813,3.45187, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,2939,1524.5,0,0,4,1060,23,44,170,5.2217,3.77453,1.12453,8.46254,5.50106,2.1115, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,2962.14,1506.74,0,0,4,746,19,44,170,4.89142,3.90214,1.35121,7.22395,5.31312,2.21098, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,2980.02,1502.13,0,0,4,297,13,40,109,4.72391,3.56566,1.55892,6.17289,5.22792,2.21885, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,2079,1492,1,0,4,26,4,36,107,105.038,80.8077,42.6923,3.13903,2.38728,2.46154, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,2073,1480.5,1,0,4,89,6,36,101,101.607,78.2022,44.0337,5.02413,3.60155,3.65825, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 1,1579.24,1438.7,1,0,2,509,13,36,91,123.76,98.8487,58.7741,12.2322,8.18536,4.90381, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 1,1747.41,1354.73,1,0,4,993,19,36,97,135.577,106.107,60.6415,14.5215,9.54634,5.56379, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,1819,1335,1,0,5,27,4,36,104,142.407,108.37,60.3333,4.70444,4.00799,4.87776, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,1812.5,1330,1,0,5,54,5,36,103,140.648,108.537,60.3889,5.25205,4.46791,4.0937, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,1820,1329.5,1,0,5,31,4,36,102,142.645,110.258,61.0968,4.79769,3.77044,3.61947, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 1,1701.5,1324,1,0,2,248,10,36,99,151.944,118.327,67.1129,6.17095,5.09787,4.31105, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,1813.55,1279.92,1,0,9,668,17,36,99,131.765,103.371,58.2201,15.9526,10.5698,5.59866, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,931.5,1196,1,0,4,39,4,40,97,126.667,102.744,56.6154,3.37868,2.46266,2.35145, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 1,736.329,1203.52,1,0,4,924,18,38,97,107.094,86.0823,47.7338,9.42132,6.48944,3.87971, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 0,751,1193,1,0,4,27,4,38,100,116.667,92.5556,51.2222,2.5396,2.25708,1.99381, "2019-07-29 [5:00:25 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G148singles\24July2019\G148_K-4.JPG", 1,971,1186.5,1,0,2,419,12,38,95,124.687,100.007,57.0406,9.49007,5.86254,4.05803, "2019-07-29 [5:00:25 PM]: no comment"
