Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,2220.44,1539.9,1,0,7,206,9,42,79,116.073,99.8301,61.4515,3.4315,2.64738,3.07272, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,2192.07,1539.81,1,0,7,458,14,42,73,111.672,96.9214,61.6769,4.45112,3.02235,2.74347, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,2228,1528,1,0,7,256,10,42,77,115.672,99.4609,61.8672,3.47522,2.70433,2.61715, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 1,1856.64,1495.46,1,0,2,3335,32,44,63,120.604,107.945,72.8132,8.05226,5.72059,3.89209, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 1,1797.7,1475.6,1,0,2,2415,28,44,63,123.426,110.003,74.311,8.46427,5.93368,3.85128, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,2257.75,1355.64,1,0,2,1830,24,46,69,100.667,90.5967,58.2393,6.59783,4.43276,3.33893, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,2250,1312.5,1,0,2,1342,22,44,70,101.8,91.041,58.0537,5.88409,4.16519,3.17288, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,1319.5,1196.5,1,0,2,3525,35,48,57,132.067,122.633,84.4871,5.76039,4.27279,3.55308, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,1385.46,1169.78,1,0,2,3448,35,48,55,140.095,129.789,90.3547,8.36317,6.94814,4.94573, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,2239.7,1151.42,1,0,2,2350,30,48,67,100.563,91.674,58.5545,7.08431,4.52875,3.14898, "2018-06-19 [12:38:43 PM]: no comment"
"C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G41\4June18\41-1.JPG", 0,2224.44,1114.97,1,0,2,1186,20,46,68,104.893,94.6965,60.5202,7.44914,4.80542,3.41168, "2018-06-19 [12:38:43 PM]: no comment"
