"","construct","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","43-1",0.938917233560091,0.997732426303855,1.06575963718821,1.06575963718821,1.17913832199546,0.476190476190476,0.0303213094657511,32
"2","43-103",0.843670801653995,0.90702947845805,0.929705215419501,1.02040816326531,1.11111111111111,0.226757369614513,0.0381002062301027,34
"3","43-110",0.86899275839368,0.929705215419501,0.952380952380953,0.997732426303855,1.02040816326531,0.408163265306123,0.0266936739727113,31
"4","43-116",0.878474846728815,0.929705215419501,0.952380952380953,1.04308390022676,1.06575963718821,0.408163265306123,0.0314127894671455,27
"5","43-118",0.812837955695099,0.884353741496599,0.884353741496599,0.997732426303855,1.02040816326531,0.272108843537415,0.0314735851102135,39
"6","43-12",0.942403628117914,0.975056689342404,1.02040816326531,1.12471655328798,1.15646258503401,0.249433106575964,0.0382156252053361,25
"7","43-135",0.892356942777111,0.918367346938776,0.90702947845805,1.02040816326531,1.11111111111111,0.36281179138322,0.0247046515463566,34
"8","43-144",0.820861678004535,0.884353741496599,0.884353741496599,0.988662131519275,1.06575963718821,0.204081632653061,0.0367850263972639,35
"9","43-15",0.793650793650794,0.839002267573696,0.839002267573696,0.997732426303855,1.24716553287982,0.204081632653061,0.0424074897644585,29
"10","43-152",0.835978835978836,0.873015873015873,0.929705215419501,1.02040816326531,1.04308390022676,0.249433106575964,0.0320449814796025,30
"11","43-16",0.789871504157219,0.884353741496599,0.975056689342404,0.975056689342404,1.08843537414966,0.18140589569161,0.0505327339288848,24
"12","43-17",0.833333333333333,0.963718820861678,1.06575963718821,1.06575963718821,1.11111111111111,0.249433106575964,0.0602615975778608,24
"13","43-18",0.790627362055934,0.816326530612245,0.952380952380953,0.977324263038549,1.06575963718821,0.158730158730159,0.0384348737522251,30
"14","43-2",0.829284094590217,0.918367346938776,1.06575963718821,1.06575963718821,1.15646258503401,0.204081632653061,0.0450570016544519,28
"15","43-27",0.869565217391304,0.975056689342404,0.975056689342404,1.04308390022676,1.08843537414966,0.272108843537415,0.0459438226807832,23
"16","43-52",0.908843537414966,0.929705215419501,0.884353741496599,1.06575963718821,1.15646258503401,0.226757369614513,0.0383687049573022,25
"17","43-55",0.739390994493035,0.793650793650794,0.90702947845805,0.90702947845805,0.952380952380953,0.317460317460317,0.0338299296634361,28
"18","43-56",0.874494725426403,0.952380952380953,0.997732426303855,1.14739229024943,1.24716553287982,0.226757369614513,0.0591899365313548,23
"19","43-59",0.830401125967628,0.861678004535148,0.861678004535148,0.997732426303855,1.08843537414966,0.204081632653061,0.0367847777805844,29
"20","43-63",0.696842839699983,0.72562358276644,0.72562358276644,0.884353741496599,0.975056689342404,0.204081632653061,0.0393471198043812,26
