"","plq","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","43-104",0.796740994854202,0.849056603773585,0.849056603773585,0.918867924528302,0.962264150943396,0.188679245283019,0.0225634535856499,44
"2","43-125",0.775804661487236,0.811320754716981,0.754716981132076,0.886792452830189,0.962264150943396,0.169811320754717,0.0267991347822271,34
"3","43-13",0.806258628624022,0.849056603773585,0.867924528301887,0.943396226415094,0.981132075471698,0.320754716981132,0.0218831462107475,41
"4","43-164",0.856603773584906,0.886792452830189,0.867924528301887,0.954716981132075,1,0.528301886792453,0.0238910942304687,25
"5","43-165",0.713352685050798,0.792452830188679,0.981132075471698,0.981132075471698,1.0377358490566,0.169811320754717,0.0523094722702874,26
"6","43-19",0.841981132075472,0.905660377358491,0.905660377358491,0.956603773584906,0.981132075471698,0.283018867924528,0.0300441856652195,24
"7","43-21",0.76968119713728,0.811320754716981,0.905660377358491,0.962264150943396,1,0.283018867924528,0.0345375178777883,29
"8","43-23",0.774123989218329,0.830188679245283,0.886792452830189,0.905660377358491,0.981132075471698,0.226415094339623,0.0322515959788002,35
"9","43-29",0.777358490566038,0.867924528301887,0.867924528301887,0.935849056603774,0.962264150943396,0.207547169811321,0.0344259521841446,35
"10","43-31",0.806469002695418,0.849056603773585,0.886792452830189,0.943396226415094,0.962264150943396,0.188679245283019,0.0270655697338486,35
"11","43-38",0.744132535664979,0.811320754716981,0.849056603773585,0.924528301886792,0.981132075471698,0.207547169811321,0.0312892515378887,41
"12","43-42",0.769811320754717,0.830188679245283,0.830188679245283,0.935849056603774,0.981132075471698,0.207547169811321,0.0303724389793708,35
"13","43-47",0.834290401968827,0.905660377358491,0.867924528301887,0.943396226415094,0.962264150943396,0.169811320754717,0.0444942825407761,23
"14","43-5",0.766792452830189,0.792452830188679,0.849056603773585,0.879245283018868,0.924528301886792,0.264150943396226,0.0274262877156504,25
"15","43-52",0.837683729867018,0.886792452830189,0.924528301886792,1.0196380438968,1.15646258503401,0.226415094339623,0.023885731883813,66
"16","43-54",0.701543739279588,0.754716981132076,0.773584905660377,0.864150943396226,0.924528301886792,0.226415094339623,0.0315085282291104,33
"17","43-62",0.814339622641509,0.830188679245283,0.867924528301887,0.867924528301887,0.867924528301887,0.660377358490566,0.0120163647759175,25
"18","43-68",0.763425253991292,0.830188679245283,0.867924528301887,0.905660377358491,0.924528301886792,0.207547169811321,0.0335114535608983,26
"19","43-7",0.803513337670787,0.849056603773585,0.867924528301887,0.909433962264151,0.924528301886792,0.283018867924528,0.0251003461384968,29
"20","43-74",0.728692257644763,0.811320754716981,0.830188679245283,0.890566037735849,0.924528301886792,0.188679245283019,0.0367995874062724,29
"21","43-75",0.810062893081761,0.839622641509434,0.849056603773585,0.909433962264151,0.962264150943396,0.584905660377358,0.0175868111824528,30
"22","43-78",0.719583604424203,0.754716981132076,0.792452830188679,0.816981132075472,1,0.283018867924528,0.0165476776502058,58
"23","43-8",0.76078167115903,0.820754716981132,0.867924528301887,0.935849056603774,1.0377358490566,0.30188679245283,0.0360909016209066,28
"24","43-81",0.640441438234247,0.641509433962264,0.641509433962264,0.754716981132076,0.849056603773585,0.264150943396226,0.0155620029303438,53
"25","43-84",0.709493860437257,0.735849056603774,0.811320754716981,0.864150943396227,0.924528301886792,0.169811320754717,0.0201956754043679,63
"26","43-86",0.913207547169811,0.981132075471698,0.981132075471698,1.05660377358491,1.09433962264151,0.39622641509434,0.0353993642250825,25
"27","43-9",0.774957118353345,0.811320754716981,0.886792452830189,0.89811320754717,1,0.207547169811321,0.0226597905225836,55
