Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,635,1908,0,0,5,89,6,50,45,19.6292,18.6292,14.382,3.7165,4.03308,3.09067, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,611.5,1907.5,0,0,5,261,10,80,22,18.249,18.8582,16.4176,6.04114,5.59041,4.35823, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 1,1505.57,1797.17,1,0,3,138,7,46,51,141.094,130.196,93.9783,3.24218,2.51733,2.75064, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,1388.3,1775.9,1,0,3,239,11,44,51,143.623,131.519,96.205,3.12783,2.59715,2.66046, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,1375,1772,1,0,3,235,10,44,51,144.4,131.877,95.5745,3.42013,2.66238,2.8282, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,521.324,1899.01,0,0,12,1368,21,44,30,18.5892,18.0402,14.7478,6.27456,5.20846,3.99976, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,493.25,1877.75,0,0,12,1494,25,60,25,17.0422,16.5971,13.8835,5.41128,4.08703,3.2065, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,460.75,1854.75,0,0,12,453,15,40,28,14.6424,14.4592,12.1391,3.73239,3.31155,2.94189, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,482,1848,0,0,12,193,10,60,16,16.9689,17.4197,15.3212,2.85457,2.36006,2.80971, "2019-06-12 [2:30:20 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G4new\26May19\G4new-5.JPG", 0,471.112,1836.91,0,0,12,449,14,30,16,17.167,16.2004,14.5479,3.16289,2.48935,3.07714, "2019-06-12 [2:30:20 PM]: no comment"
