Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,2413.5,1987.5,0,0,6,335,11,38,156,25.0239,18.4806,6.35224,4.85553,3.12,2.83208," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,2425.7,1967.6,0,0,6,76,6,42,147,26.0132,19.9737,6.76316,3.96246,2.79893,3.1205," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,284,1987.5,0,0,3,391,13,26,58,19.3606,15.4322,12.3018,6.41244,4.26336,2.8096," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,266.7,1966.4,0,0,3,89,7,34,62,17.7191,14.6067,11.4831,3.97551,2.70009,2.91454," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,2450.88,1951.08,0,0,7,125,6,42,127,20.568,16.88,7.064,3.63617,2.59298,2.89206," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,2461.2,1946.9,0,0,7,107,6,42,137,19.8318,16.2336,5.61682,3.63863,2.44416,2.43159," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,2477.24,1947.68,0,0,7,31,4,48,137,19.6774,16.6452,5.74194,3.20538,2.4491,2.21729," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,2471.5,1945,0,0,7,54,5,46,173,21.2963,17.3519,4.24074,3.01503,2.36297,2.8352," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,612,1940.5,0,0,4,134,7,36,36,19.8358,18.3284,15.2985,5.42718,4.0756,3.30519," ""2019-05-15 [10:55:14 AM]: no comment"""
C:\Users\ealtman\Dropbox\Photos\G4singles\1May19\G4S1-1.JPG,0,594,1941,0,0,4,330,12,60,23,18.0545,18.4364,15.1303,5.80751,5.03213,4.20766," ""2019-05-15 [10:55:14 AM]: no comment"""
