Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 0,2242,1806,0,0,2,48,5,32,107,61.0833,44.125,25.1667,12.1819,8.80391,6.27705, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,1962.55,1519.83,1,0,3,1629,26,42,78,113.45,97.0645,60.1277,11.1201,8.14698,5.32386, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,1958.94,1494.41,1,0,3,520,16,42,79,111.765,95.5077,59.0904,9.26198,6.40156,4.68749, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,1956.59,1469.62,1,0,3,1386,23,40,81,116.19,98.2143,59.7872,14.6044,9.62249,5.95726, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,2511.35,886.459,1,0,2,932,18,42,94,95.1556,78.9775,43.7178,7.99819,6.12929,4.43342, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,2483,866.5,1,0,2,1277,21,42,89,92.6233,78.0305,44.5317,7.75177,6.11388,4.14315, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,2134.38,868.923,1,0,2,1576,23,42,76,129.992,112.025,69.7043,14.8237,10.7418,6.41772, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,2166.69,819.261,1,0,2,3953,37,42,78,122.18,105.354,65.3018,15.4526,11.2612,6.41673, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,980.404,823.177,1,0,2,1994,26,48,82,75.8089,67.8516,39.1319,6.4722,4.67376,4.13042, "2018-01-30 [9:55:31 PM]: no comment"
"C:\Users\JT\Dropbox\protein G structure\plate_images\G8_NNN\11Jan18_G8\G8-3_TGC_C.JPG", 1,1009.2,783.793,1,0,2,2940,34,46,79,75.7361,68.2449,39.9163,7.11102,5.21173,4.42308, "2018-01-30 [9:55:31 PM]: no comment"
