Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1352.26,1844.94,1,0,2,1836,26,40,96,83.7821,67.9368,37.7887,18.0246,13.9116,10.6171," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1307.34,1823.1,1,0,2,2884,32,40,97,78.0312,63.2153,35.2247,17.6485,13.9459,10.4671," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1712.6,1793.2,1,0,5,2596,33,40,93,90.1183,73.5562,42.4584,20.2754,14.5523,10.1343," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1735.69,1753.48,1,0,5,2691,33,40,93,83.5975,68.534,38.9647,20.0217,15.64,11.5461," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1776.77,1685.57,1,0,5,1884,30,40,84,86.9968,72.5547,43.9273,22.1902,17.0665,12.2208," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1713.45,1660.24,1,0,5,1500,26,40,86,84.6753,70.388,41.8,22.4106,16.2878,11.2881," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1746.96,1631.51,1,0,5,1325,25,40,86,82.766,68.8596,40.7109,23.1891,16.6589,12.1532," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1886,1593,1,0,2,905,19,36,91,113.545,90.8641,54.2552,23.9461,17.1349,11.6063," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1536.14,1545.93,1,0,4,2691,30,40,79,88.7607,75.4928,46.8532,22.685,16.784,12.1674," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1484.64,1544.21,1,0,4,1934,29,40,77,88.0264,75.3738,46.9969,22.1416,16.5561,11.7751," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1985.25,1556.75,1,0,4,2082,32,40,87,91.6623,76.2983,45.1782,23.6049,17.793,12.3318," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,997.466,1501.05,1,0,2,3291,36,42,88,71.76,60.5053,35.3823,19.3234,14.9238,10.974," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1237.25,1472.75,1,0,3,1998,27,40,80,91.6341,77.1311,48.2457,24.6237,17.6476,12.5362," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1935.55,1384.92,1,0,2,1971,26,40,83,94.2593,78.7311,48.1446,23.3577,16.981,11.9276," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1672,1387,1,0,2,3549,35,40,74,104.149,88.1034,57.4435,28.2358,20.6323,13.2641," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1028,1290,1,0,5,2132,28,40,84,82.5216,69.1937,41.599,23.479,17.2923,12.2461," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,2026.37,1255.09,1,0,4,857,18,36,86,112.851,91.2684,55.8203,21.7638,16.1041,10.0426," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,2188.76,1224.69,1,0,4,1842,25,40,98,78.7177,64.6107,34.5972,17.7096,14.1406,10.2134," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,2213.97,1185.29,1,0,4,1928,27,40,100,80.4393,65.207,34.5093,17.5229,14.007,9.93208," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1592.81,1164.04,1,0,5,2046,28,38,68,147.863,125.616,85.8935,37.0776,29.7828,20.7179," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1911.45,1073.12,1,0,4,3235,35,40,79,111.515,93.5428,59.3363,30.8628,23.2588,14.578," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1392.03,1139.4,1,0,5,2305,31,40,64,120.079,104.035,72.3176,31.5862,24.4045,15.6657," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1381.97,1050.74,1,0,5,2011,32,42,63,122.579,107.635,73.8767,34.0181,26.2251,17.7025," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,2023.57,1001.42,1,0,3,2296,32,42,82,86.3031,74.0588,44.4443,20.9483,15.9417,11.5622," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,909.3,904.1,1,0,3,3586,37,44,90,65.0053,55.8756,30.8879,16.1361,12.6421,9.24024," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1713,891.5,1,0,3,3042,32,40,70,112.15,96.498,64.1003,23.9394,18.0669,11.7643," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1771.15,887.643,1,0,3,1823,26,40,71,105.992,90.9989,60.1838,24.3758,17.8961,11.6563," ""2018-01-07 [11:42:45 PM]: no comment"""
C:\Users\JT\Dropbox\protein G structure\plate_images\28Dec17_G80\G80-4_GTA.JPG,1,1789.75,852.574,1,0,3,2158,29,42,69,100.521,87.6585,58.3383,18.9512,14.3669,9.87711," ""2018-01-07 [11:42:45 PM]: no comment"""
