Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,2570,1978.5,0,0,14,89,6,42,105,12.1573,10.4382,5.40449,2.87172,2.28041,2.66064, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,2647.72,1963.51,0,0,14,1295,23,44,73,9.10656,7.97143,5.19691,4.07528,3.44127,3.51095, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,2568,1961,0,0,14,54,5,34,94,13.3333,9.68519,6.33333,2.83586,2.11926,2.62161, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,2626.7,1952.6,0,0,14,403,13,50,127,8.80149,7.74442,3.46402,3.3994,3.44983,2.76415, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,2585.87,1951.36,0,0,14,173,10,40,109,9.51445,8.19653,4.37572,2.8455,2.48074,2.73801, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,2563.2,1947.98,0,0,14,319,12,46,146,10.6897,9.22571,3.47649,4.34733,2.65311,2.32917, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,2597,1947.5,0,0,14,158,8,40,127,8.98101,6.96835,3.17089,3.3316,2.98227,2.36962, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,1660,1923.5,0,0,21,89,6,44,78,16.5506,14.5955,9.08989,4.50284,4.06748,2.98104, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,1720,1918,0,0,21,344,12,38,68,18.8488,16.0988,11.2965,4.98549,3.74637,2.8566, "2019-06-12 [1:25:58 PM]: no comment"
"C:\Users\ealtman\Dropbox\Photos\G80\29May19\G80-147.JPG", 0,1689.25,1920.75,0,0,21,335,13,38,78,16.9313,14.4985,9.22985,4.8662,3.79004,3.58428, "2019-06-12 [1:25:58 PM]: no comment"
