Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,1526.7,1784.1,1,0,2,122,7,50,46,108.459,103.098,74.7951,2.31291,2.11921,2.12307," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,1,1769.59,1759.18,1,0,4,2210,32,46,49,110.694,102.93,74.5977,4.93646,3.56016,3.17944," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,13,1723,0,0,5,564,14,30,55,17.2358,13.8333,10.5195,5.07066,3.16038,2.66992," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,918.596,1626.02,1,0,3,73,7,46,57,131.342,118.836,83.274,3.62871,2.29291,2.63238," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,923.941,1616.74,1,0,3,166,8,46,58,130.03,117.669,82.0964,4.12669,2.99514,2.93019," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,908.544,1609.43,1,0,3,374,11,44,55,129.31,116.324,82.5107,4.24656,3.31009,2.86543," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,2865.5,1635,0,0,3,158,7,38,170,10.1646,6.63924,1.5,12.0847,7.7732,2.60596," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,2868,1620,0,0,3,285,10,42,198,8.30877,5.76842,1.43158,12.4544,7.56218,2.34022," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,2877.91,1594.06,0,0,3,1385,22,40,153,7.70325,5.53502,2.07365,12.1094,7.81263,2.49379," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,1,1566.48,1579.49,1,0,2,2037,28,48,43,125.436,117.716,88.8429,5.47186,3.79719,3.25234," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,1,1554.69,1546.89,1,0,2,739,16,48,43,128.648,121.528,92.2463,6.94159,4.45436,3.39111," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,1074.48,1431.86,1,0,5,1208,23,52,39,127.636,123.734,93.6209,6.00461,4.10811,3.53818," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,1,1157.34,1420.88,1,0,5,513,14,50,45,143.883,137.033,100.869,6.54355,4.99328,4.28154," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,1046.7,1408.79,1,0,5,1901,30,54,40,126.279,123.127,92.1026,7.75157,5.45673,3.87409," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,1098.37,1410.18,1,0,5,1274,24,54,39,129.44,125.944,94.9168,6.33757,4.56869,3.74322," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,1129.16,1402.58,1,0,5,1634,26,54,41,134.061,130.039,96.8409,8.45484,6.39961,4.63131," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,1,781,1397.5,1,0,2,1119,20,46,54,120.055,110.089,78.0223,5.81717,3.84246,3.00634," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,1,776.5,1352.5,1,0,2,2626,30,50,49,112.445,105.964,76.465,7.73174,5.00422,3.6134," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,719.966,1304.02,1,0,6,204,11,48,51,113.598,105.858,76,4.37308,2.58559,2.99755," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,713.178,1293.28,1,0,6,294,12,48,48,112.595,105.718,76.8095,4.24343,2.99793,2.93547," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,1,1307.15,1320.29,1,0,5,1641,23,52,44,158.061,152.615,118.287,6.11858,4.95067,4.85286," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,1384.02,1312.82,1,0,5,519,16,50,47,161.004,153.705,119.033,5.90212,4.84825,4.68208," ""2019-08-16 [10:21:05 AM]: no comment"""
C:\Users\ealtman\Dropbox\protein G structure\plate_images\G88singles\14Aug19\G88S-1.JPG,0,1404.52,1304.51,1,0,5,683,17,50,46,162.13,154.638,120.744,8.34542,6.54942,6.20364," ""2019-08-16 [10:21:05 AM]: no comment"""
