Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,294.5,1994,0,0,2,52,5,30,73,8.71154,6.82692,5.38462,2.83278,1.7776,2.60712," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2923,1557,0,0,6,132,8,36,182,5.76515,3.84848,0.530303,8.11045,5.03673,1.76316," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2923.77,1546.5,0,0,6,242,9,30,170,5.40496,3.14463,1.32645,8.19053,5.23969,2.23852," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2932.5,1517,0,0,6,911,20,30,170,5.48079,3.44896,1.08782,8.85694,5.48823,2.1895," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2947.79,1506.73,0,0,6,663,18,30,170,4.54902,3.31674,1.29261,6.94978,5.09088,2.06305," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2963.8,1498.9,0,0,6,335,12,40,153,4.04179,3.37612,1.20597,6.22948,5.0866,2.08557," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2979.27,1495.48,0,0,6,343,12,44,170,5.33528,4.40525,1.35277,5.99225,5.69808,2.24108," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2175.25,1121.25,1,0,4,1823,25,42,110,82.5957,67.5074,32.627,11.2852,8.09352,5.52362," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1993.5,1059,1,0,4,592,14,38,103,118.395,92.9983,49.7618,12.5643,8.14722,4.40146," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1589.77,622.356,1,0,3,1629,24,40,92,124.436,102.157,58.3481,18.7908,12.728,6.4846," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1543.96,620.697,1,0,3,1698,25,40,92,122.859,101.181,58.2951,20.1428,13.1193,6.43086," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1233.04,499.015,1,0,2,698,16,40,96,115.271,93.8338,52.4728,12.5385,8.37112,4.6717," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1536.9,566.8,1,0,3,1227,21,40,92,118.594,97.6243,56.4515,17.1353,11.2572,5.95093," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1521.4,491.746,1,0,3,1728,24,40,92,114.683,94.673,53.8762,17.4143,11.4541,6.07556," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1082.5,475.5,1,0,2,511,13,40,95,97.8767,81.4325,45.274,9.67744,6.80495,4.34267," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,2028.25,506.75,1,0,3,710,16,38,108,103.849,81.8268,42.0366,10.4653,7.08064,4.10362," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,2044.35,474.706,1,0,3,1662,24,40,108,95.8261,76.6089,39.0662,12.9194,8.65957,5.48468," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,2167.38,454.179,1,0,3,1464,23,38,117,101.759,78.7766,38.2746,11.0775,7.16796,4.29883," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,2125,423.5,1,0,2,735,16,38,112,103.435,79.8517,39.5456,8.2004,5.85614,4.19996," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2371,368,0,0,2,133,8,36,255,58.2932,33.6692,0.0075188,3.25709,3.58893,1.08638," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1964,258.5,1,0,2,617,16,38,109,104.862,81.4716,42.4652,7.96242,5.33256,3.13237," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1651.39,202.584,1,0,2,909,18,40,99,102.116,82.7404,45.2893,11.0376,7.58203,4.11865," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1606.97,203.812,1,0,2,2035,27,40,96,97.4005,79.4929,44.1007,13.2371,9.0578,5.34362," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2948.9,255.2,0,0,2,2964,32,30,85,4.33401,2.93489,1.5857,7.59206,4.5238,2.55762," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,1,1271.16,181.859,1,0,4,950,18,40,94,102.101,83.8316,46.7432,11.2358,7.56105,4.36035," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2340.5,51,0,0,2,161,8,36,255,52.677,30.7764,0.0124224,3.64364,3.60667,1.11076," ""2019-07-29 [3:51:02 PM]: no comment"""
C:\Users\LuAnn Scott\Dropbox\protein G structure\plate_images\G88singles\24Jul19\G88_K-4.JPG,0,2338.75,38.2499,0,0,2,143,8,36,255,51.4685,29.8811,0.0559441,4.40876,5.09757,1.38822," ""2019-07-29 [3:51:02 PM]: no comment"""
