"","construct","radius.mean","radius.median","radius.getmode","radius.getquant","radius.max","radius.min","radius.st.err","radius.length"
"1","88-103",0.829338842975207,0.886363636363636,0.909090909090909,0.954545454545455,1.02272727272727,0.295454545454545,0.0233379296695962,55
"2","88-129",0.717032967032967,0.75,0.795454545454545,0.840909090909091,0.931818181818182,0.25,0.0149007881928023,91
"3","88-157",0.841354723707665,0.931818181818182,1,1,1.06818181818182,0.204545454545455,0.0321569072095372,51
"4","88-178",0.820158102766798,0.886363636363636,0.886363636363636,0.954545454545455,1.02272727272727,0.25,0.0263743304275941,46
"5","88-187",0.74604743083004,0.863636363636364,0.909090909090909,0.931818181818182,0.954545454545455,0.25,0.048193871288005,23
"6","88-24",0.765151515151515,0.863636363636364,0.909090909090909,0.977272727272727,1.18181818181818,0.204545454545455,0.0306506863842918,66
"7","88-31",0.760249554367201,0.840909090909091,0.840909090909091,0.954545454545455,1.13636363636364,0.227272727272727,0.0332520910303063,51
"8","88-4",0.82020202020202,0.886363636363636,0.886363636363636,1,1.20454545454545,0.204545454545455,0.0304817579022683,45
"9","88-41",0.743506493506493,0.784090909090909,0.795454545454545,0.840909090909091,0.909090909090909,0.25,0.0206570257515968,42
"10","88-5",0.865454545454545,0.909090909090909,0.909090909090909,0.968181818181818,1.11363636363636,0.272727272727273,0.0346400220767335,25
"11","88-71",0.742424242424242,0.818181818181818,0.818181818181818,0.886363636363636,0.977272727272727,0.204545454545455,0.0220777875806919,72
